"filename", "language", "JSON", "TypeScript", "CSS", "TypeScript React", "Markdown", "HTML", "comment", "blank", "total"
"d:\csharp\Faketory\faketory-app\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 21, 47
"d:\csharp\Faketory\faketory-app\package-lock.json", "JSON", 16636, 0, 0, 0, 0, 0, 0, 1, 16637
"d:\csharp\Faketory\faketory-app\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 1, 55
"d:\csharp\Faketory\faketory-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 5, 48
"d:\csharp\Faketory\faketory-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\csharp\Faketory\faketory-app\src\API\Account\actions.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\csharp\Faketory\faketory-app\src\API\Account\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\csharp\Faketory\faketory-app\src\API\Actions\actions.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\csharp\Faketory\faketory-app\src\API\Actions\types.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\csharp\Faketory\faketory-app\src\API\Conveyors\conveyors.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 7, 27
"d:\csharp\Faketory\faketory-app\src\API\Conveyors\types.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 3, 32
"d:\csharp\Faketory\faketory-app\src\API\Pallets\pallets.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\csharp\Faketory\faketory-app\src\API\Pallets\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\csharp\Faketory\faketory-app\src\API\Plcs\plcs.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\csharp\Faketory\faketory-app\src\API\Plcs\types.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\csharp\Faketory\faketory-app\src\API\Sensors\sensors.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"d:\csharp\Faketory\faketory-app\src\API\Sensors\types.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\csharp\Faketory\faketory-app\src\API\Slots\slots.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\csharp\Faketory\faketory-app\src\API\Slots\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\csharp\Faketory\faketory-app\src\API\axiosConfig.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 4, 6, 25
"d:\csharp\Faketory\faketory-app\src\App.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\csharp\Faketory\faketory-app\src\App.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 5, 21
"d:\csharp\Faketory\faketory-app\src\Components\BoardComponent\Board.tsx", "TypeScript React", 0, 0, 0, 72, 0, 0, 0, 15, 87
"d:\csharp\Faketory\faketory-app\src\Components\BoardComponent\styles.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\csharp\Faketory\faketory-app\src\Components\ContentPage\ContentPageComponent.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\csharp\Faketory\faketory-app\src\Components\ContentPage\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\Devices\ConveyorComponent\ConveyorComponent.tsx", "TypeScript React", 0, 0, 0, 56, 0, 0, 0, 8, 64
"d:\csharp\Faketory\faketory-app\src\Components\Devices\ConveyorComponent\Types.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\csharp\Faketory\faketory-app\src\Components\Devices\ConveyorComponent\styles.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\Components\Devices\PalletComponent\PalletComponent.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 6, 39
"d:\csharp\Faketory\faketory-app\src\Components\Devices\PalletComponent\Types.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\csharp\Faketory\faketory-app\src\Components\Devices\PalletComponent\styles.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\csharp\Faketory\faketory-app\src\Components\Devices\SensorComponent\SensorComponent.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 7, 40
"d:\csharp\Faketory\faketory-app\src\Components\Devices\SensorComponent\Types.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\csharp\Faketory\faketory-app\src\Components\Devices\SensorComponent\styles.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\csharp\Faketory\faketory-app\src\Components\Header\HeaderComponent.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 5, 15
"d:\csharp\Faketory\faketory-app\src\Components\Header\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\LoginForm\LoginFormComponent.tsx", "TypeScript React", 0, 0, 0, 55, 0, 0, 0, 8, 63
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\LoginForm\styles.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\LoginScreenComponent.tsx", "TypeScript React", 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\RegisterForm\RegisterFormComponent.tsx", "TypeScript React", 0, 0, 0, 59, 0, 0, 0, 13, 72
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\RegisterForm\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\LoginScreen\styles.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\DevicesListComponent.tsx", "TypeScript React", 0, 0, 0, 56, 0, 0, 0, 5, 61
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\DevicesTabComponent.tsx", "TypeScript React", 0, 0, 0, 30, 0, 0, 0, 11, 41
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\EDevicesTabState.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\AddConveyorTabComponent.tsx", "TypeScript React", 0, 0, 0, 168, 0, 0, 0, 26, 194
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\ModifyConveyorTabComponent.tsx", "TypeScript React", 0, 0, 0, 193, 0, 0, 0, 28, 221
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Conveyor\types.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\AddPalletTabComponent.tsx", "TypeScript React", 0, 0, 0, 59, 0, 0, 0, 17, 76
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\ModifyPalletTabComponent.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 17, 95
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Pallet\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\csharp\Faketory\faketory-app\src\Components\MenuBar\DevicesTab\Subtabs\Sensor\AddSensorTabComponent.tsx", "TypeScript React", 0, 0, 0, 112, 0, 0, 0, 25, 137
